 Mean of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
126.3515625,0.148699264,-0.220388245,25.24165933,7.055532568,51.27622029,0
19.2109375,7.383228067,54.91450581,74.79688682,0.819743173,-0.304083989,1
35.0703125,4.522658784,21.06357501,61.69331397,2.014948043,2.496918796,1
96.203125,0.570509608,-0.013526927,11.77107311,11.85165842,199.5352962,0
111.5390625,0.51732535,1.94197775,12.26881136,13.29343747,215.2279233,0
95.9609375,0.226956811,2.102523727,9.747227093,17.73436684,405.2457171,0
89.375,0.59933142,2.968751233,15.27722104,11.09608903,140.9131359,0
99.0390625,0.6695787,2.276886361,9.944516862,17.04873084,376.808602,1
68.171875,1.890852823,5.974870302,32.44494158,5.093572586,27.16879704,1
34.9609375,4.370479957,21.30250631,63.77693651,0.923271607,-0.375506487,1
147.1875,-0.317051551,-0.140388307,88.76494682,0.109116969,-1.944969025,0
114.9921875,0.05686438,0.007851086,20.39079932,8.339259797,74.38254429,0
122.4609375,0.306741606,0.749057079,10.90052252,18.147227,357.7291613,0
105.0546875,0.232726022,-0.224256608,15.86884368,8.223807707,89.76012277,0
124.0859375,0.039337322,0.239576265,16.42244467,9.583074571,101.3518039,0
105.359375,0.432989791,0.755390842,15.05835607,8.933377329,106.2643094,0
85.5546875,0.830122948,3.353249159,12.53316188,12.51220783,197.5481966,0
120.859375,0.168566097,0.139634947,32.27365114,4.985945468,24.37324469,0
130.5078125,0.131694604,-0.171640274,42.0699366,4.288426479,16.9975901,0
107.609375,0.242108502,0.091726703,19.19616698,8.005113659,75.30307956,0
105.4921875,0.287492053,0.892812175,33.27636521,4.898199844,24.41945068,0
61.3203125,2.12506091,8.749596277,32.21045816,5.573565234,31.30181946,1
93.859375,0.345821376,1.925633824,16.36876177,9.184135763,97.35602744,0
99.890625,0.570213627,0.278228949,19.64746526,8.955801487,84.16528711,0
125.1953125,-0.007334637,0.052865909,13.26998847,9.866218113,136.5937781,0
127.765625,0.018767162,-0.324726244,31.48465588,4.780808564,24.42720964,0
107.015625,0.399773522,-0.062695441,14.96020455,9.052904352,107.0121555,0
116.171875,0.291528053,-0.511846368,58.52975015,1.933245575,2.508814221,0
96.2578125,0.590384572,0.4753859,17.39755748,7.226537956,65.14340995,0
10.75,5.326652756,28.12321137,66.54038336,0.381339773,-0.816997109,1
121.5546875,0.013886214,-0.71180853,19.52642934,7.775510532,69.80281758,0
25.8828125,4.513053034,21.45892946,59.23094254,0.778190103,0.460438719,1
96.9140625,0.464908179,-0.012716359,16.69429717,11.0051712,128.0154941,0
34.0859375,4.578745511,25.10418984,79.35646125,0.105358058,-1.003129925,1
77.7109375,0.887618711,4.18582553,12.7457877,10.08573564,149.0995774,0
113.9453125,0.265922766,-0.300500558,14.11356972,10.70684894,140.4278328,0
119.6796875,0.177270559,-0.184385587,15.72181965,10.91346844,133.5666912,0
98.875,0.706977055,1.558303838,17.8995864,7.334053595,65.39181049,0
101.3203125,0.5375419,0.845943169,12.77214481,10.82873946,157.4688675,0
112.34375,0.436678774,-0.272195333,18.05107124,9.220370518,93.95526146,0
66.5234375,3.194011829,13.84465036,46.45021216,3.625585841,12.56844415,1
130.578125,-0.100089046,-0.065201069,48.37105555,2.582806358,5.682744142,0
127.421875,0.163797769,0.197325193,16.00169808,10.22517131,121.0396081,0
115.96875,-0.072119214,-0.181292445,42.8108324,3.878579733,14.00446874,0
102.8984375,0.311980498,0.084053496,15.12208632,10.78361265,139.5290881,0
31.296875,4.260269381,19.16800831,58.65664338,-1.86231995,2.391870403,1
67.171875,2.213705405,9.130930749,34.43590378,4.81411156,23.64356824,1
102.1796875,0.759739678,-0.406666122,36.22701999,5.261994428,26.96420589,0
123.1640625,0.155716434,-0.198033827,15.79442052,8.588996654,93.30484347,0
106.578125,0.379026393,0.737146647,15.72292861,10.40223126,124.3070754,0
99.265625,0.715227893,1.936421549,66.39636541,2.015641321,2.445002469,1
90.9375,0.684736587,1.909077919,14.75047514,9.049141652,110.470924,0
127.7578125,0.02603328,-0.355607154,32.54988436,4.620943141,21.53392486,0
124.2265625,-0.078626992,0.018097348,10.96805533,13.37211061,256.5692616,0
96.1328125,0.511557599,0.767894529,12.69379794,12.14628283,180.1763689,0
68.7109375,2.150269126,6.459922466,63.04141212,1.675482143,1.952082522,1
74.2421875,2.193684838,9.04864641,77.83778912,1.600997903,0.747279614,1
122.2734375,-0.035852059,-0.398383842,11.30540019,14.8647691,271.3865827,0
82.796875,0.649252493,1.845585937,22.96119514,7.924278481,64.47609588,0
45.4921875,3.033387283,9.43170166,67.90771099,1.360775488,0.839947048,1
103.1484375,0.507142426,1.367814351,21.60406749,6.393055864,47.1625121,0
116.125,0.238584971,0.236122285,18.32124185,8.666537426,87.51434685,0
121.4765625,0.167668529,0.392626313,16.51737539,7.400722533,71.14502283,0
116.6171875,0.077678205,-0.012692783,15.18924406,9.141793497,107.4260146,0
101.0078125,0.247110802,0.527799075,19.59876993,9.595103422,94.06356535,1
99.8828125,0.3999269,0.652447481,44.49505153,3.53838469,11.32808216,1
48.3671875,4.500912427,27.91794242,74.18078711,0.740556013,-0.606040114,1
97.796875,0.52424471,0.070170177,13.19878413,14.09642408,217.6586166,0
158.40625,-0.64592281,0.602676501,94.25210681,-0.403837482,-1.691506229,0
139.21875,-0.075252362,0.224426118,13.70507576,11.79995485,165.2273745,0
112.84375,0.074551957,-0.083599689,22.60171042,7.240796922,54.81113215,0
160.171875,-0.851336358,0.382979188,105.6636712,0.105753384,-1.890237611,0
36.125,4.272427009,18.81391099,79.04512862,0.931727931,-0.392899525,1
116.3203125,0.331506286,0.640744905,11.03282547,13.56838477,255.2151904,0
124.3828125,0.191626311,1.00463672,27.54597392,5.185667022,28.51923717,0
91.5859375,0.540792016,0.914437269,25.49374496,7.937384726,63.53235477,1
74.8515625,2.04966648,8.119674898,27.71320267,6.052581482,38.39563433,1
120.3203125,0.18992276,-0.084253211,26.53985328,7.730587328,60.2942534,0
124.6015625,0.260193796,0.438259027,13.4946659,10.01444428,132.2476821,0
106.109375,0.188486211,0.11709634,21.14553745,7.555608983,60.63057986,0
127.8984375,-0.197473139,-0.281325101,17.4999562,8.856701229,95.07615094,0
13.9453125,6.874326,49.83630049,81.44223117,-0.271148371,-1.154878257,1
107.8359375,0.216761062,-0.417014716,17.50635622,8.567517048,84.72175695,0
43.53125,4.561197349,27.58809027,59.28255704,2.492828032,5.086935866,1
150.25,-0.293358459,-0.192446567,16.54409976,9.571654152,112.4461624,0
132.125,-0.054497472,-0.490855991,25.90727719,5.753756558,35.14409949,0
160.59375,-0.386819851,0.425261242,14.43732976,10.59061728,138.0163273,0
77.3828125,2.213106287,7.49103005,48.32784746,3.183798985,9.779543823,1
129.25,0.150241717,-0.039414743,53.93577579,2.763543964,6.250814822,0
56.4375,2.795590511,8.417076734,81.42642872,0.32054995,-1.22130667,1
135.9921875,-0.231185029,0.302770837,25.94312639,7.091756804,53.51122893,0
167.265625,-1.243047959,1.405514588,70.8744527,-0.817827062,-0.389345317,0
99.015625,0.600667999,1.566984642,8.959399109,21.44159553,558.2128358,0
108.6796875,0.306644264,0.242935783,14.4073314,9.520359499,120.8918703,0
107.3515625,0.349515296,0.131933658,24.92314183,6.489325841,44.29654047,1
75.3828125,0.936612759,2.651894473,14.4683396,11.47737402,145.421376,0
125.1328125,0.258624386,-0.068347205,17.66386986,9.390326617,101.2625965,0
119.8203125,0.140590565,-0.5981894,15.66634784,9.401898715,104.1930905,0
42.0234375,3.6688856,19.64800538,86.47995077,0.259049282,-1.504341473,1
140.0234375,-0.189009852,-0.160740823,10.98698833,17.83922752,359.9147868,0
118.4765625,0.093271735,0.024995554,15.84149951,9.019529291,98.31474632,0
114.765625,0.250453488,0.265001208,10.69159404,14.7424194,289.945208,0
130.0546875,0.044099772,-0.25009962,15.95987435,8.500737849,89.68962761,0
26.859375,6.856928736,51.99356481,87.30678407,-0.067089321,-1.300859747,1
100.7890625,0.430839884,1.117147026,18.98210675,8.487104471,83.96900848,0
112.140625,0.324431866,0.041339674,14.98873571,10.90130878,137.8899135,0
127.25,0.111973564,0.30349472,33.97059414,5.559184745,30.62363238,1
19.3984375,3.970530161,14.99836007,64.61505196,0.182897218,-0.595895323,1
66.0078125,2.182435889,6.24572824,75.94479595,1.352278726,0.433760191,1
138.40625,0.000971135,-0.097402825,17.35932685,8.393935,89.38385187,0
117.6953125,0.111360296,0.187767463,20.66350053,8.693813268,85.27751693,0
70.171875,0.857086565,-0.249330997,83.46686103,-1.034181281,-0.744690815,0
115.46875,0.293610071,-0.131551398,17.43653245,9.084915216,98.10160801,0
124.171875,0.060274411,-0.146268783,32.32890571,5.540142343,29.90623931,0
103.1640625,0.311946793,0.966934522,13.53693142,12.17727647,182.4954883,0
54.953125,2.856749261,13.50660065,44.64390792,2.997168664,9.314726057,1
123.1953125,0.135242128,-0.409028356,21.99824957,8.072724098,73.63256983,0
126.0703125,0.105463471,0.450658627,16.95069997,10.62332143,122.6194425,0
106.953125,0.540006589,1.764248903,10.86224075,15.35180038,293.734196,0
104.1015625,0.271233,0.397922308,17.74226362,10.32622611,117.4629336,0
97.9609375,0.608531646,0.236163272,38.05800556,4.252712817,17.4604517,1
78.265625,1.573735534,3.974569639,34.89387035,4.646499866,22.48076807,1
112.171875,0.521913166,0.761390142,14.49277153,12.94499673,183.8474238,0
135.8359375,0.077007102,-0.076658066,10.65915933,14.81645391,293.25189,0
121.7421875,-0.091161962,-0.267380022,15.75176975,8.227566552,84.87250944,0
96.296875,0.462261531,0.304179325,43.12352346,3.864211106,14.03501627,0
108.46875,0.282550879,0.456958961,12.40692271,11.62096444,182.5024118,0
63.7578125,2.52074361,7.634463751,60.00793234,2.317804497,4.035176101,1
118.1875,0.286781224,0.151899588,13.82009731,9.172350421,117.7755079,0
143.7578125,-0.272219529,0.651014794,12.91983233,16.60416403,285.2511409,0
65.203125,2.861040502,12.8045048,75.76121217,1.369637448,0.316789393,1
21.3984375,6.001279885,39.37420348,91.08990265,0.1393163,-1.493106877,1
89.0078125,0.51696465,1.694450979,15.98961038,8.096201328,83.67046485,0
110.609375,0.423026197,0.357396975,14.86863868,12.98632832,175.9961136,0
136.4296875,-0.041043362,-0.813721047,43.90708787,2.981883666,8.037103126,0
84.0859375,1.365958487,2.536932543,37.63330976,4.687512869,21.72060286,1
114.5625,0.152839394,-0.142159375,15.88978651,8.173612961,86.10970958,0
18.6015625,5.391922104,32.93033316,53.41195512,2.392436733,5.294008356,1
33.9140625,4.561125864,22.33154978,83.1729185,0.558919817,-1.100622926,1
98.0,0.446004758,1.242162603,14.85571452,14.21557494,208.6010393,1
107.9609375,0.114300332,0.431232869,14.23083061,10.07876729,125.1681734,0
138.7421875,-0.219529961,0.681211622,20.74661412,7.503919636,65.47384565,0
17.0234375,3.716950468,13.10581926,66.37242762,0.48443973,-0.438687261,1
131.953125,-0.023565797,-0.179173397,10.38961189,16.8225932,342.0875921,0
90.8046875,1.036867777,0.978799325,23.2611639,8.462873693,74.6774727,0
16.875,4.59064206,21.78251449,48.98592758,0.877831858,0.607236595,1
127.6328125,0.067652431,0.103195502,34.50829115,4.03999313,16.48196465,0
87.5,0.97784848,2.396694926,59.8266841,2.325450801,4.001609718,0
36.0546875,5.399496575,34.82030536,50.06538719,2.853919688,7.851461412,1
138.9609375,-0.18508271,-0.786591549,63.0810749,-2.191995093,3.766276335,0
25.875,4.353534701,19.41923002,65.61180195,0.341897847,-0.528906172,1
84.8203125,0.685524661,1.521941752,14.47784657,13.66538977,203.0317166,0
106.890625,0.258986541,0.552247953,46.47746177,3.873275767,13.66037178,0
122.2734375,0.194199914,-0.16340349,97.29725633,-0.041583438,-1.78971179,0
103.9296875,0.51647125,0.7946958,18.58242698,9.557851488,99.44496733,0
128.734375,0.376429104,0.30780294,25.16229543,5.497543863,32.73983291,0
114.625,0.140018676,-0.047546282,22.78860933,6.533891444,47.51004627,0
133.453125,-0.124094881,0.119213657,21.4989739,8.326758859,75.34301015,0
126.0859375,-0.304357607,-0.178113558,18.95515693,10.77846254,120.6826915,0
147.1796875,-0.276795859,-0.40409455,27.96454434,6.306189084,41.31959555,0
95.5,0.507914882,1.195518333,19.79988847,8.031521163,70.54087673,0
108.8046875,0.527620938,0.496820389,23.04048636,7.109584237,52.74603246,0
9.6796875,5.675513634,34.09198751,43.77870048,0.667756531,0.631393344,1
65.578125,2.351981687,9.971397801,31.10990258,5.646217665,33.64550365,1
126.5078125,-0.19787318,0.034066658,24.86524879,6.323480658,41.32363996,0
48.7265625,3.856358892,19.61184642,52.39793671,2.777641658,7.23326483,1
50.0625,1.926926518,2.924904194,67.68154044,0.907627901,-0.0152805,1
109.078125,0.175111538,-0.08533416,26.7115887,4.922162237,28.96970077,0
64.1484375,2.58500314,9.679898023,41.38499698,4.106325032,16.03161551,1
124.96875,0.022988483,-0.470119865,16.77067749,9.340228127,101.1255232,0
77.5703125,1.215544207,2.787567721,69.9744327,2.191309815,3.170994826,1
62.796875,2.776799913,11.6846634,56.18345346,2.713191643,5.912275552,1
24.609375,4.288720043,18.15569373,58.4027157,0.727091967,0.545543042,1
106.640625,0.408364336,0.836075077,13.55102303,11.15306167,153.1954245,0
84.0546875,0.818566414,0.037857783,95.23927357,-0.799085173,-1.044223249,1
125.5546875,0.164013664,0.115301597,13.07480673,9.608155929,136.1945985,0
93.46875,0.461595067,0.685985998,12.09622649,11.35345234,182.5653718,0
127.96875,0.097844068,-0.500399575,14.8348574,8.376322078,95.35536158,0
87.8671875,1.41216443,1.57104878,79.95513887,-0.484144224,-1.504009207,0
126.671875,0.148622784,-0.333998625,11.14176046,17.07908266,321.312136,0
84.6796875,0.504917799,1.536421608,15.43432804,9.021101189,105.2961938,0
125.8984375,0.146280575,0.108788206,23.38708611,6.805168067,50.20283154,0
50.8125,3.549122045,19.72484931,30.53548955,5.800805954,35.71707507,1
122.0234375,0.238204602,-0.841093179,26.86084442,6.221721748,39.50507704,0
125.90625,0.126708251,0.887191733,41.37168778,4.152450076,16.36070442,0
66.2578125,1.627878491,3.697592132,33.4068871,5.177427247,27.83718927,1
82.5390625,0.602729258,1.934605388,19.8230658,8.638218698,78.17061657,0
116.390625,0.330796675,0.77493033,17.92247145,7.561806152,69.11221086,0
107.40625,0.346462399,-0.266718309,15.54926317,12.48047254,161.3658961,0
112.6875,0.187054653,0.498764148,10.51618338,15.01307448,304.0008335,0
38.8359375,2.409113748,4.694510938,55.42048533,0.741363677,0.459213896,1
86.71875,0.634146772,1.009346322,11.81827649,12.40439229,207.8565596,0
91.453125,0.873622268,2.573178343,14.18562639,10.96108338,146.5033113,0
6.1796875,7.520589491,57.50455774,58.72705339,-0.730653265,-0.345934684,1
57.7734375,2.838965075,9.853350469,62.26744522,1.082803734,0.724746575,1
37.3203125,3.754493514,14.52474198,75.56270212,0.738275666,-0.499831847,1
79.6953125,1.698401977,5.235228951,73.36736284,1.399719585,0.314248849,1
127.796875,0.181733731,0.533080505,10.15398619,17.52460409,372.1526675,0
104.0390625,0.469904566,0.749434609,74.37844354,1.367850954,0.246203152,1
139.078125,0.036500858,-0.287231501,28.58802998,4.16323962,19.20349289,0
89.8828125,0.77892599,0.890933093,24.4108567,6.874129741,49.55902251,0
115.625,-0.036397,0.947991219,18.87805241,7.951204137,72.10466975,0
101.9140625,0.692179402,-0.387154329,20.50934284,9.923346052,103.8813462,0
43.390625,3.49042398,12.54182148,67.85578175,1.280288544,0.646120509,1
107.515625,0.543042813,0.564612713,51.83933323,2.926019923,7.232496915,1
106.5078125,0.679218671,0.359940964,17.57019462,7.345886231,67.01579785,0
119.796875,0.028437288,-0.931859304,51.51675915,2.35103641,4.082682927,0
128.7421875,0.548461375,0.688671788,13.52801364,12.15235644,171.2226622,0
127.25,0.125401891,-0.375457945,13.37763534,9.899595369,136.7203337,0
114.4453125,0.318638555,0.530197081,15.59193594,12.3742124,163.2900739,0
101.109375,0.386449996,0.013776817,16.98067477,8.038120913,81.04171963,0
131.5390625,0.23062012,0.291412888,13.57436409,9.879612173,133.9673782,0
124.8671875,-0.050693724,0.437615356,24.67524671,7.223419492,55.41099732,0
93.9765625,0.54757771,1.490568809,57.40510413,2.326863586,3.90579952,0
105.921875,0.586689392,0.440956743,34.90773729,4.506391175,19.87915731,1
105.9140625,0.321508839,0.817274676,12.52307595,11.03269206,166.4132425,0
139.5078125,0.058464859,-0.541216061,20.94260511,9.085809435,85.94942092,0
123.1640625,0.090767139,-0.246955717,17.28360406,7.460259558,68.4776307,0
107.984375,0.499147957,-0.951198188,26.39263855,5.234382859,31.53014292,0
83.1640625,1.448609429,3.001362527,61.10525788,2.35184019,4.160649929,1
157.4140625,-0.203597601,0.425523897,14.16833442,13.57872681,208.5835113,0
120.3125,0.340131465,-0.012273793,88.72365307,-0.799010975,-0.976216784,0
119.671875,0.359964202,0.967106331,15.02961222,8.938616437,104.8855616,1
87.671875,0.610609396,1.245056491,14.05886458,9.79333591,125.782002,0
101.7578125,0.199822091,-0.266164654,21.98314229,8.678700028,81.10588811,0
98.4921875,0.465292282,0.020867077,23.78869404,6.909452532,52.2518193,0
116.390625,0.237914742,0.417836545,14.88377248,9.280975648,109.211722,0
114.2265625,0.230615464,-0.450628984,19.86355018,7.3314062,60.84518456,0
47.4140625,3.240700034,16.55758793,50.98031878,2.550215406,6.050767158,1
38.6015625,4.454485184,24.83556835,74.77609681,0.936863413,-0.187639851,1
141.75,-0.094906495,-0.274820697,33.13533081,4.12797093,17.86671984,0
54.3125,3.104716093,13.3905951,28.14779266,6.09455006,39.33132707,1
93.0859375,1.298184844,1.792965793,97.17698793,-0.160468153,-1.586368761,1
78.1015625,1.303471641,0.420722724,45.03559684,3.926855752,14.82775476,1
128.9296875,0.130827458,-0.072423308,14.76673931,12.23132654,171.3569586,0
89.3359375,0.771258274,1.143718465,23.76468291,7.015481231,53.4797851,1
135.7890625,-0.123442462,0.103470459,42.51340749,3.344190974,10.13010963,0
108.4765625,0.265656742,-0.172145952,14.38089199,8.346819018,99.28112839,0
79.1484375,1.333943536,2.315716718,67.32951018,-2.280625982,3.754301853,0
60.6328125,2.401280557,5.858265485,89.54225828,0.383887223,-1.31902556,1
136.3046875,-0.088268899,-0.347696242,18.31905171,8.462307371,82.08973273,0
109.7734375,0.367544746,-1.018931534,87.11576405,1.437992457,0.120399245,0
123.6171875,0.032634719,-0.359665022,9.05189596,21.20130294,542.7889663,0
33.4140625,4.840333824,30.20788807,38.58749479,3.515438261,13.21505032,1
127.53125,0.201492291,-0.053058686,10.46534078,15.46052425,314.069158,0
161.546875,-0.445529239,0.972516612,15.48828572,12.92627575,178.9790317,0
61.5859375,2.18369337,6.679820259,62.80335165,2.378670462,4.365465102,1
90.0703125,1.409969609,3.038750015,17.28687362,8.303035615,82.62758841,1
126.4921875,0.088909395,1.279481426,82.75598375,-0.474357219,-1.707769446,0
