 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate
586.0,16.88726924,255.0,-0.219529961,363.0,0.741638796,802.0,157.4296875,1732.0,1191.000837,355.0,-1.018931534,753.0,9.924395515,1258.0,60.99616917
598.0,18.50064207,263.0,-0.18508271,367.0,0.509197324,810.0,145.4609375,1754.0,767.249553,364.0,-0.471484806,770.0,9.94223031,1310.0,60.61349762
609.0,18.65277583,271.0,-0.124094881,370.0,0.62541806,820.0,154.828125,1790.0,589.0490372,370.0,-0.752266542,831.0,9.039320938,1407.0,68.44832918
618.0,16.67351345,272.0,-0.304357607,404.0,0.617892977,839.0,146.640625,1897.0,558.8449995,380.0,-0.421114778,845.0,8.963456972,1462.0,69.39277468
647.0,17.54918106,273.0,-0.276795859,409.0,0.91722408,866.0,142.78125,1903.0,559.6798641,384.0,-1.087748183,896.0,9.389436104,1496.0,64.45563774
650.0,22.76554322,278.0,-0.19787318,441.0,1.091973244,878.0,150.1953125,2071.0,515.9031905,400.0,-0.807788259,925.0,9.705052421,1511.0,60.41294209
666.0,20.54908805,334.0,-0.203597601,446.0,0.998327759,880.0,155.046875,2098.0,436.966681,406.0,-0.457801414,950.0,9.448068783,1603.0,64.40475458
679.0,17.89532069,344.0,-0.094906495,454.0,0.822742475,894.0,150.7890625,2148.0,606.9296621,411.0,-0.476678852,955.0,9.48942052,1614.0,72.8924705
685.0,32.19858411,350.0,-0.123442462,486.0,0.984113712,969.0,147.65625,2151.0,1191.000837,418.0,-0.60777109,1014.0,10.54434548,1632.0,66.64067995
719.0,19.66562033,354.0,-0.088268899,498.0,0.857023411,1036.0,143.71875,2341.0,541.4329658,444.0,-1.073750811,1029.0,10.56690574,1635.0,68.04469491
748.0,15.51930352,359.0,-0.445529239,516.0,0.714882943,1039.0,142.953125,2353.0,479.6709644,449.0,-0.421985488,1069.0,9.776808016,1676.0,60.29166577
753.0,17.26226541,364.0,-0.146764042,518.0,0.711538462,1053.0,154.328125,2363.0,446.0699191,459.0,-0.548990547,1145.0,8.21693767,1811.0,61.28765135
770.0,18.56469558,366.0,-0.285120899,541.0,1.22826087,1058.0,147.5234375,2552.0,449.028584,475.0,-0.705622327,1199.0,8.976702489,1932.0,75.63995203
831.0,20.4868376,369.0,-0.070158659,586.0,1.02006689,1059.0,156.1875,2612.0,453.4595663,493.0,-0.669713639,1214.0,9.18772207,1997.0,61.00824219
845.0,22.84698125,372.0,-0.191336828,588.0,1.106187291,1080.0,150.0625,2659.0,590.2587782,499.0,-0.386009479,1286.0,10.40742903,2059.0,71.10621457
896.0,19.5189226,379.0,-0.157029889,598.0,0.717391304,1082.0,150.796875,2726.0,495.3496895,500.0,-0.666486148,1314.0,9.47416996,2151.0,71.70969399
925.0,18.19443105,380.0,-0.31059466,609.0,0.795986622,1096.0,145.2734375,2924.0,563.7681942,508.0,-0.387191469,1329.0,10.45048758,2179.0,68.91609508
950.0,21.1251608,384.0,-0.285003623,618.0,0.827759197,1112.0,150.828125,3050.0,436.4494061,511.0,-0.63887063,1368.0,9.386201227,2273.0,63.86202626
955.0,19.17506463,392.0,-0.235489932,627.0,1.20735786,1177.0,146.1640625,3086.0,688.313733,515.0,-0.767792176,1430.0,9.371889853,2275.0,60.41095379
1010.0,15.43465653,404.0,-0.125916897,647.0,1.002508361,1196.0,142.2265625,3136.0,468.7074339,523.0,-0.68568066,1438.0,7.658622807,2299.0,62.78682185
1014.0,16.09535324,406.0,-0.120530793,650.0,0.494983278,1210.0,142.2890625,3352.0,687.3500921,529.0,-1.040047783,1524.0,8.155357409,2417.0,85.3085722
1055.0,15.74871118,410.0,-0.243341594,666.0,0.877090301,1280.0,158.9375,3375.0,508.3739762,531.0,-0.377866076,1531.0,9.980714421,2425.0,69.20907408
1069.0,19.83776014,420.0,-0.921973906,679.0,0.736622074,1281.0,151.5078125,,,532.0,-0.590819309,1550.0,10.65345059,2467.0,77.45572702
1130.0,18.34357426,470.0,-0.075758626,681.0,1.176421405,1306.0,143.703125,,,535.0,-0.535040066,1629.0,10.62139895,2478.0,60.2487337
1145.0,25.83057657,491.0,-0.308911459,685.0,0.282608696,1370.0,186.0234375,,,537.0,-0.616029813,1632.0,8.539595736,2602.0,76.77084813
1184.0,17.76076525,492.0,-0.250942834,719.0,0.66722408,1374.0,142.7578125,,,547.0,-0.387463737,1661.0,10.12878435,2657.0,69.8240495
1189.0,16.10944959,512.0,-0.175585493,734.0,1.163879599,1401.0,158.0078125,,,550.0,-0.498368512,1663.0,10.15043721,2694.0,63.00387464
1199.0,21.78444163,513.0,-0.168623214,748.0,0.989130435,1429.0,165.890625,,,562.0,-0.558537431,1698.0,10.56774557,2799.0,67.61349688
1214.0,25.14870995,522.0,-0.157453673,753.0,0.925585284,1471.0,174.4453125,,,563.0,-0.397231442,1719.0,10.39823051,2800.0,62.1510552
1222.0,15.60260457,532.0,-0.21339795,759.0,1.071906355,1479.0,154.2265625,,,572.0,-0.382697031,1726.0,9.956608349,2829.0,62.45460656
1286.0,20.60540855,537.0,-0.122888148,770.0,0.772575251,1486.0,153.4296875,,,593.0,-0.427215103,1732.0,7.370432165,2899.0,63.8723316
1314.0,19.99649016,541.0,-0.308626969,782.0,1.203177258,1497.0,145.7421875,,,607.0,-0.91820436,1754.0,8.245448044,2954.0,62.41473432
1317.0,16.34060921,557.0,-0.441836412,795.0,1.02090301,1505.0,159.6796875,,,616.0,-0.610810262,1790.0,8.827777214,2963.0,61.91805439
1329.0,16.43328965,576.0,-0.413088168,831.0,0.897157191,1534.0,155.203125,,,638.0,-0.470638942,1857.0,10.06173086,3028.0,62.77492609
1333.0,15.49147137,588.0,-0.193766156,834.0,1.10451505,1560.0,150.9296875,,,639.0,-0.48788421,1897.0,9.048203704,3054.0,83.79690851
1368.0,18.56906191,591.0,-0.18679188,845.0,0.490802676,1565.0,147.0703125,,,646.0,-0.605070987,1903.0,9.305756832,3093.0,68.74491769
1430.0,18.9541547,596.0,-0.228002011,896.0,0.741638796,1569.0,147.046875,,,653.0,-0.600190196,1904.0,10.0389384,3134.0,61.79755057
1438.0,30.88388219,609.0,-0.363834868,925.0,1.009197324,1627.0,151.609375,,,656.0,-0.699648398,1998.0,10.59085599,3136.0,65.34200888
1524.0,26.72061167,616.0,-0.133909843,950.0,0.618729097,1640.0,147.7578125,,,659.0,-0.474235211,2066.0,10.54475335,3159.0,60.72061112
1531.0,15.84168941,628.0,-0.197472928,955.0,0.720735786,1666.0,143.0703125,,,667.0,-0.679851066,2071.0,9.186709289,3161.0,72.08883908
1546.0,15.77733265,649.0,-0.329708776,1010.0,1.00083612,1672.0,146.9296875,,,668.0,-1.426008479,2087.0,10.44750623,3215.0,62.06150819
1550.0,17.23772744,652.0,-0.160866045,1014.0,1.081103679,1674.0,150.8203125,,,674.0,-0.394362917,2098.0,9.998303392,3276.0,62.11591308
1559.0,17.94074456,656.0,-0.234571412,1022.0,1.198160535,1675.0,144.0078125,,,686.0,-0.417057902,2148.0,8.758855399,3290.0,67.38557603
1565.0,16.15530276,661.0,-0.310959504,1055.0,0.867892977,1727.0,143.140625,,,689.0,-0.403609368,2151.0,7.370432165,3449.0,91.20647473
1613.0,17.33779813,672.0,-0.133498818,1056.0,1.144648829,1754.0,157.96875,,,690.0,-0.966162931,2278.0,10.46080399,3464.0,63.90303132
1629.0,17.57922973,686.0,-0.091955609,1069.0,0.673913043,1799.0,147.28125,,,695.0,-0.390753851,2341.0,9.395387736,,
1630.0,18.90676348,687.0,-0.116520845,1124.0,1.098662207,1807.0,147.984375,,,697.0,-0.916841484,2353.0,9.343990925,,
1632.0,23.70251524,695.0,-0.251831759,1130.0,1.044314381,1919.0,158.046875,,,706.0,-0.609986726,2363.0,9.549109095,,
1661.0,16.33803018,701.0,-0.152566571,1145.0,0.588628763,1922.0,143.703125,,,707.0,-1.46130417,2397.0,9.879962477,,
1663.0,16.15230496,717.0,-0.135232464,1168.0,1.18645485,1945.0,153.4375,,,709.0,-0.611238169,2408.0,10.0971003,,
1698.0,16.48688383,727.0,-0.112475386,1184.0,0.692307692,1979.0,147.8359375,,,712.0,-0.733680527,2436.0,10.66114524,,
1719.0,15.86384529,741.0,-0.346445944,1189.0,0.943143813,2061.0,142.546875,,,718.0,-0.371239336,2437.0,10.33832345,,
1726.0,20.70269644,770.0,-0.151711603,1196.0,1.091973244,2066.0,144.3359375,,,739.0,-0.379819929,2452.0,10.49927078,,
1732.0,34.53984419,772.0,-0.168241839,1199.0,0.570234114,2089.0,146.15625,,,740.0,-0.400675366,2512.0,10.04489355,,
1744.0,15.50702205,779.0,-0.127177558,1214.0,0.372073579,2165.0,145.421875,,,743.0,-0.406630775,2535.0,9.835624289,,
1754.0,26.00864648,793.0,-0.087825488,1222.0,1.056020067,2176.0,143.375,,,744.0,-0.455179989,2540.0,10.24490091,,
1790.0,22.09169374,801.0,-0.092458704,1228.0,0.97826087,2233.0,142.9765625,,,749.0,-0.410603449,2552.0,10.06511862,,
1798.0,16.3770658,802.0,-0.642107621,1286.0,0.637959866,2247.0,142.2578125,,,764.0,-0.563533859,2659.0,8.81823759,,
1808.0,17.30055984,807.0,-0.084678994,1304.0,1.172240803,2260.0,145.109375,,,775.0,-0.591203117,2691.0,9.928137163,,
1828.0,16.43614907,820.0,-0.395508941,1314.0,0.642140468,2275.0,142.3203125,,,780.0,-1.668540363,2719.0,10.46125097,,
1839.0,17.24020956,839.0,-0.112763127,1317.0,0.878762542,2277.0,143.8515625,,,790.0,-0.659650436,2726.0,10.44372188,,
1857.0,16.90725578,856.0,-0.282344175,1329.0,1.068561873,2291.0,143.984375,,,828.0,-0.543944115,2812.0,10.51986191,,
1897.0,21.83509649,866.0,-0.317777933,1333.0,1.02173913,2374.0,153.2109375,,,839.0,-0.371108552,2865.0,10.00555275,,
1903.0,22.81086106,870.0,-0.213667181,1368.0,1.035117057,2388.0,145.3515625,,,844.0,-0.600601906,2918.0,10.41259442,,
1904.0,16.18211689,873.0,-0.20494247,1430.0,0.920568562,2416.0,144.4453125,,,866.0,-0.449601586,2924.0,9.009992903,,
1998.0,17.25416792,878.0,-0.459504787,1438.0,0.486622074,2431.0,164.5078125,,,882.0,-0.705472728,2984.0,10.09294869,,
2047.0,16.26129078,880.0,-0.401771128,1498.0,1.222408027,2537.0,142.3203125,,,890.0,-0.400319574,3050.0,9.782509647,,
2058.0,15.5276428,884.0,-0.101687543,1515.0,1.216555184,2543.0,143.0859375,,,892.0,-1.285631263,3064.0,10.07460298,,
2066.0,15.51860604,885.0,-0.177537351,1524.0,0.448160535,2547.0,145.71875,,,896.0,-0.630157294,3085.0,10.55214247,,
2071.0,20.80439884,887.0,-0.07678517,1540.0,1.198160535,2568.0,147.3828125,,,897.0,-0.738947364,3086.0,8.469054382,,
2098.0,19.92312867,894.0,-0.805191136,1546.0,0.933110368,2592.0,144.2734375,,,910.0,-0.393822915,3136.0,9.594105398,,
2148.0,22.48554855,900.0,-0.12585765,1550.0,0.924749164,2630.0,151.4140625,,,934.0,-0.728040811,3344.0,10.51951159,,
2151.0,34.53984419,903.0,-0.222934778,1559.0,0.763377926,2633.0,148.3125,,,938.0,-0.370034248,3346.0,9.575039504,,
2182.0,15.42161879,933.0,-0.123247103,1565.0,0.820234114,2694.0,185.2578125,,,939.0,-0.469846623,3352.0,8.526606796,,
2188.0,15.63374589,934.0,-0.295049069,1586.0,0.95819398,2707.0,157.8515625,,,944.0,-0.613223971,3375.0,9.188624648,,
2278.0,19.36524856,935.0,-0.14420225,1613.0,0.798494983,2783.0,143.7578125,,,968.0,-0.476035911,,,,
2283.0,17.77306875,938.0,-0.266391407,1629.0,0.757525084,2784.0,144.109375,,,972.0,-0.86378088,,,,
2341.0,22.31692646,941.0,-0.23761915,1630.0,0.671404682,2800.0,176.890625,,,1004.0,-0.420245749,,,,
2353.0,19.62280224,957.0,-0.12147936,1632.0,0.626254181,2817.0,148.9140625,,,1014.0,-0.373089166,,,,
2363.0,19.07499425,968.0,-0.121768692,1639.0,0.977424749,2830.0,145.8046875,,,1022.0,-0.397856837,,,,
2373.0,15.99599601,969.0,-0.123452921,1644.0,1.066889632,2845.0,144.7265625,,,1031.0,-0.363182629,,,,
2392.0,16.364909,992.0,-0.09848083,1646.0,1.161371237,2854.0,147.9921875,,,1036.0,-0.368045041,,,,
2397.0,17.5000631,1005.0,-0.211101786,1661.0,1.098662207,2862.0,159.4609375,,,1046.0,-0.465719549,,,,
2408.0,15.8790681,1029.0,-0.117524134,1663.0,1.073578595,2889.0,151.78125,,,1051.0,-0.512699409,,,,
2430.0,15.88589743,1033.0,-0.186781276,1669.0,0.929765886,2932.0,146.4296875,,,1056.0,-0.710808631,,,,
2439.0,18.97366748,1036.0,-0.113036125,1698.0,0.996655518,2945.0,151.265625,,,1061.0,-0.400883776,,,,
2512.0,19.01050319,1039.0,-0.074739854,1706.0,1.152173913,2949.0,154.875,,,1067.0,-0.571767105,,,,
2535.0,18.10163502,1047.0,-0.144282272,1713.0,1.12541806,2951.0,147.6171875,,,1087.0,-0.652397872,,,,
2540.0,17.11080776,1053.0,-0.447880355,1719.0,1.023411371,2986.0,154.328125,,,1101.0,-0.624935104,,,,
2552.0,20.43001943,1058.0,-0.270451157,1726.0,0.594481605,2991.0,149.0078125,,,1113.0,-0.367023594,,,,
2612.0,20.93792904,1059.0,-0.504758424,1732.0,0.213210702,3016.0,166.2421875,,,1115.0,-0.96008249,,,,
2659.0,22.08963805,1069.0,-0.093155342,1744.0,0.963210702,3044.0,145.828125,,,1147.0,-0.494766891,,,,
2669.0,16.73582653,1080.0,-0.327481721,1754.0,0.493311037,3050.0,148.734375,,,1156.0,-0.455355488,,,,
2687.0,18.60030304,1082.0,-0.065591176,1786.0,1.222408027,3064.0,145.515625,,,1163.0,-0.568159146,,,,
2691.0,19.19876364,1086.0,-0.1487375,1790.0,0.671404682,3093.0,146.3359375,,,1170.0,-0.596122377,,,,
2722.0,16.2029334,1088.0,-0.121952426,1798.0,0.903010033,3118.0,150.09375,,,1177.0,-0.55575902,,,,
2726.0,21.78880752,1110.0,-0.12966176,1808.0,0.828595318,3290.0,142.2265625,,,1179.0,-0.378226218,,,,
2812.0,16.0248918,1112.0,-0.262291657,1828.0,0.838628763,3318.0,153.265625,,,1189.0,-0.532189049,,,,
2865.0,17.27692219,1122.0,-0.125126919,1839.0,0.867056856,3347.0,143.453125,,,1194.0,-0.675270192,,,,
2882.0,18.58770705,1149.0,-0.139766255,1849.0,1.157190635,3397.0,144.3359375,,,1198.0,-0.431259477,,,,
2924.0,22.07906526,1158.0,-0.072164943,1853.0,1.16722408,3407.0,142.7109375,,,1200.0,-0.558206552,,,,
2947.0,18.12971574,1167.0,-0.404696444,1857.0,1.099498328,3424.0,144.078125,,,1210.0,-0.483325218,,,,
2984.0,17.07881177,1177.0,-0.386948102,1868.0,1.071906355,3427.0,142.390625,,,1211.0,-0.457520726,,,,
2992.0,16.45809591,1187.0,-0.368260131,1897.0,0.648829431,3447.0,144.75,,,1219.0,-0.453809418,,,,
3050.0,19.40777182,1189.0,-0.14220215,1903.0,0.473244147,3450.0,143.7421875,,,1220.0,-0.44414081,,,,
3064.0,17.77944407,1196.0,-0.282400762,1988.0,0.962374582,3467.0,144.7890625,,,1222.0,-0.366729824,,,,
3082.0,16.1560225,1198.0,-0.108407305,1998.0,0.795150502,,,,,1232.0,-0.787813653,,,,
3085.0,16.71590506,1210.0,-0.085549253,2018.0,1.142976589,,,,,1243.0,-0.405367663,,,,
3086.0,24.2116019,1211.0,-0.138694079,2047.0,0.809364548,,,,,1244.0,-0.425663549,,,,
3124.0,16.43405227,1220.0,-0.139667958,2058.0,1.127926421,,,,,1250.0,-0.488677917,,,,
3136.0,19.95361512,1250.0,-0.117648752,2071.0,0.628762542,,,,,1258.0,-0.60804283,,,,
3236.0,15.87532933,1259.0,-0.067427737,2093.0,1.190635452,,,,,1259.0,-0.627974904,,,,
3343.0,17.2574396,1272.0,-0.09554035,2098.0,0.621237458,,,,,1280.0,-0.384349496,,,,
3344.0,17.94934163,1280.0,-0.342646,2130.0,1.180602007,,,,,1294.0,-0.581040759,,,,
3346.0,18.02280786,1281.0,-0.119643101,2148.0,0.62541806,,,,,1310.0,-0.65334814,,,,
3352.0,24.8038265,1294.0,-0.117317276,2151.0,0.213210702,,,,,1319.0,-0.362541469,,,,
3375.0,20.26078352,1305.0,-0.066710012,2178.0,1.238294314,,,,,1337.0,-0.787102521,,,,
3380.0,16.23050065,1313.0,-0.164240789,2180.0,1.216555184,,,,,1359.0,-0.377020378,,,,
3413.0,17.02761622,1314.0,-0.236577724,2182.0,0.89632107,,,,,1374.0,-0.682682689,,,,
3458.0,15.97289756,1319.0,-0.370261369,2188.0,1.004180602,,,,,1397.0,-0.486637088,,,,
3476.0,15.91627143,1325.0,-0.239040645,2205.0,1.094481605,,,,,1407.0,-1.022071192,,,,
,,1328.0,-0.191620268,2259.0,1.040133779,,,,,1412.0,-0.595897003,,,,
,,1351.0,-0.241620276,2278.0,0.631270903,,,,,1419.0,-0.819733801,,,,
,,1352.0,-0.086566058,2283.0,0.744983278,,,,,1424.0,-0.532209426,,,,
,,1355.0,-0.114142863,2341.0,0.510033445,,,,,1426.0,-0.537727309,,,,
,,1357.0,-0.08416679,2353.0,0.928929766,,,,,1427.0,-0.502093821,,,,
,,1370.0,-1.464809666,2363.0,0.722408027,,,,,1430.0,-0.696248578,,,,
,,1374.0,-0.193868003,2373.0,0.903010033,,,,,1434.0,-0.361925451,,,,
,,1380.0,-0.281609044,2378.0,1.162207358,,,,,1460.0,-0.402615325,,,,
,,1401.0,-0.277940085,2379.0,1.155518395,,,,,1462.0,-1.29079093,,,,
,,1403.0,-0.101247717,2392.0,0.848662207,,,,,1466.0,-0.428059593,,,,
,,1412.0,-0.144638989,2397.0,0.873745819,,,,,1473.0,-0.447545993,,,,
,,1425.0,-0.119416596,2430.0,0.889632107,,,,,1479.0,-0.553531651,,,,
,,1428.0,-0.075830847,2436.0,1.232441472,,,,,1486.0,-0.399454786,,,,
,,1429.0,-0.666761277,2439.0,0.661371237,,,,,1488.0,-0.415874652,,,,
,,1440.0,-0.261539631,2489.0,0.959866221,,,,,1496.0,-0.796270961,,,,
,,1457.0,-0.244153139,2491.0,1.139632107,,,,,1499.0,-0.450082238,,,,
,,1471.0,-0.96785605,2493.0,0.961538462,,,,,1501.0,-0.424998369,,,,
,,1473.0,-0.224264565,2512.0,0.643812709,,,,,1503.0,-0.66581044,,,,
,,1477.0,-0.082527812,2535.0,0.842809365,,,,,1504.0,-0.70011187,,,,
,,1479.0,-0.616140169,2540.0,0.887123746,,,,,1512.0,-0.796265936,,,,
,,1486.0,-0.328023302,2552.0,0.678929766,,,,,1523.0,-0.682348594,,,,
,,1497.0,-0.345502814,2586.0,1.081939799,,,,,1531.0,-0.362707125,,,,
,,1505.0,-0.322081418,2599.0,1.085284281,,,,,1535.0,-0.431156903,,,,
,,1509.0,-0.265456587,2612.0,0.56270903,,,,,1541.0,-0.495563862,,,,
,,1522.0,-0.234422119,2643.0,1.095317726,,,,,1553.0,-0.421265194,,,,
,,1523.0,-0.153433889,2659.0,0.683946488,,,,,1569.0,-0.45847628,,,,
,,1525.0,-0.091173338,2669.0,0.754180602,,,,,1582.0,-0.482680667,,,,
,,1534.0,-0.399585906,2687.0,0.688963211,,,,,1586.0,-0.375905262,,,,
,,1541.0,-0.065490878,2691.0,0.695652174,,,,,1591.0,-0.642960484,,,,
,,1542.0,-0.123295178,2721.0,0.864548495,,,,,1603.0,-1.00415768,,,,
,,1552.0,-0.124295853,2722.0,0.884615385,,,,,1611.0,-0.454706547,,,,
,,1560.0,-0.100787599,2726.0,0.537625418,,,,,1614.0,-1.221741092,,,,
,,1565.0,-0.417425064,2749.0,1.193979933,,,,,1621.0,-0.514347238,,,,
,,1569.0,-0.238446444,2786.0,1.023411371,,,,,1632.0,-0.96973044,,,,
,,1577.0,-0.161601914,2812.0,1.094481605,,,,,1641.0,-0.473516168,,,,
,,1581.0,-0.209818907,2819.0,1.030100334,,,,,1642.0,-0.538020905,,,,
,,1603.0,-0.128817571,2822.0,1.095317726,,,,,1644.0,-0.70806345,,,,
,,1611.0,-0.103200771,2841.0,1.010033445,,,,,1669.0,-0.654944883,,,,
,,1623.0,-0.097256057,2865.0,0.989130435,,,,,1672.0,-0.766580588,,,,
,,1627.0,-0.263480604,2881.0,1.220735786,,,,,1675.0,-0.52045906,,,,
,,1632.0,-0.082271602,2882.0,0.764214047,,,,,1676.0,-0.744740048,,,,
,,1636.0,-0.066714604,2924.0,0.556020067,,,,,1701.0,-0.398289737,,,,
,,1644.0,-0.249829928,2931.0,0.97993311,,,,,1704.0,-0.483476397,,,,
,,1649.0,-0.094408436,2947.0,0.769230769,,,,,1707.0,-0.45201668,,,,
,,1666.0,-0.205450272,2984.0,0.939799331,,,,,1730.0,-0.462205395,,,,
,,1667.0,-0.305418476,2988.0,1.024247492,,,,,1750.0,-0.383489202,,,,
,,1669.0,-0.154719171,2992.0,0.870401338,,,,,1753.0,-0.48574424,,,,
,,1672.0,-0.08253658,3013.0,1.200668896,,,,,1786.0,-0.369825844,,,,
,,1673.0,-0.091393782,3050.0,0.670568562,,,,,1790.0,-0.474659038,,,,
,,1674.0,-0.188187488,3055.0,1.182274247,,,,,1811.0,-0.657251352,,,,
,,1675.0,-0.103120276,3064.0,0.79180602,,,,,1839.0,-0.446177214,,,,
,,1676.0,-0.084275426,3082.0,0.89632107,,,,,1843.0,-0.377993387,,,,
,,1701.0,-0.101259289,3085.0,0.828595318,,,,,1844.0,-0.584480022,,,,
,,1703.0,-0.148782839,3086.0,0.571070234,,,,,1849.0,-0.496631593,,,,
,,1725.0,-0.078512205,3099.0,1.198160535,,,,,1865.0,-0.489726222,,,,
