 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class,class,cap-shape,cap-surface
101.109375,44.96478385,0.46684233,0.650444999,22.90227211,5.918597012,38.15288961,1,e,x,y
72.8984375,33.10962847,2.619937523,10.45170371,29.14683205,6.137965398,39.54969006,1,e,f,f
66.25,49.55631267,2.122348963,4.234448377,61.72483685,2.07361136,3.256666281,1,e,x,s
102.921875,41.18851656,1.188254763,3.332665667,68.08119742,2.043346738,2.661084433,1,e,b,s
75.5546875,44.96748975,1.906108429,4.063128989,57.57231664,2.250798135,4.096560177,1,p,x,y
110.296875,53.96358138,0.551669376,0.044974471,63.92381879,1.95999445,2.637734683,1,e,x,y
18.46875,30.67137751,5.324693064,32.13511206,70.61322253,0.457164795,-0.652009171,1,e,x,y
20.5859375,38.95099633,4.107440317,17.45892291,66.93227852,1.363742553,0.809833128,1,e,b,y
13.9765625,32.9406343,5.461851458,31.02640461,45.47368992,-0.590940053,0.826186564,1,e,x,f
22.8203125,40.3534063,4.276571383,17.80916068,45.82804818,-0.050852995,0.960368154,1,e,s,f
13.2265625,31.71164387,5.623710282,33.34287139,63.896188,0.138212003,-0.804983112,1,p,x,y
115.6875,44.69020971,0.445118581,0.98047914,51.47874479,2.61982716,5.758852621,1,e,x,f
60.8828125,33.77258992,2.449872617,11.3791132,48.86978279,3.322152211,9.756751039,1,e,b,s
82.6171875,49.65067363,0.919883294,0.807797142,19.6474313,10.24436306,110.5672784,1,e,b,y
89.2890625,59.40961522,1.138659189,0.507889889,84.08348042,0.787360707,-0.845856504,1,e,x,y
87.375,39.59620405,1.542813554,4.111057707,51.17907548,3.248128572,9.423348928,1,e,x,f
37.3359375,27.64882382,4.967325025,32.75392671,91.89896905,1.04253464,-0.621374164,1,,,
58.5703125,44.24411748,2.74142524,8.888969807,44.35852458,3.427857041,11.75397158,1,e,x,s
104.3984375,45.17506569,0.529472406,1.047006985,31.43174599,5.69367877,32.72252724,1,e,x,y
11.140625,25.69524955,8.069522046,68.10162173,70.8948215,0.781355646,-0.152781378,1,e,x,y
43.390625,40.68346454,3.49042398,12.54182148,67.85578175,1.280288544,0.646120509,1,e,x,s
71.3984375,47.29517349,1.317459045,2.340411994,46.86283003,3.070346153,9.405187883,1,e,x,y
81.640625,36.08296308,1.346785056,4.938703095,51.13121117,3.052324452,8.112335087,1,e,f,y
60.9765625,37.65415499,2.348117762,8.89422219,32.82643958,5.393685545,28.80654646,1,e,x,y
63.6875,35.7256801,2.721032735,10.85685049,67.72125209,1.653588408,1.675631228,1,e,x,s
36.8828125,32.89510343,4.177538111,21.19882157,75.97207069,0.418538803,-0.744468025,1,e,b,s
54.953125,29.73262607,3.076377733,16.85425894,37.54657123,4.348138651,19.56521718,1,p,x,y
95.109375,43.30636399,0.366115935,1.417368335,22.6104476,8.460500093,74.90918791,1,p,x,s
42.2578125,61.14407245,2.34405188,4.293383219,61.02445266,0.73754137,0.21772231,1,e,b,y
112.0625,48.14946618,0.331624838,-0.014803418,17.22583887,9.008724198,93.2805985,1,e,f,f
21.796875,41.3561814,3.967173195,16.0126981,64.92494492,1.506915694,1.256135437,1,e,b,s
112.90625,47.73370754,0.445550862,0.391164407,16.14328612,10.42274842,116.8602088,1,e,x,s
50.828125,31.80509722,3.160720254,15.9458221,49.5971217,3.495529187,11.30174349,1,e,x,y
76.671875,50.07230855,1.797571445,3.100705383,11.07083845,16.43405227,314.1971868,1,e,s,f
24.1953125,27.61143858,6.136716697,42.8259995,66.03356696,1.321973986,0.992863952,1,e,b,y
45.5078125,30.51280369,3.755943078,21.78329797,70.8063042,1.80549339,1.909212118,1,e,b,s
28.7578125,30.13349105,5.840096278,39.44785209,78.23615478,0.769681835,-0.557649255,1,e,b,y
85.5625,62.43180655,0.934045726,0.007399074,93.78110269,-0.648924065,-1.21364414,1,,,
85.9609375,44.7832283,0.790272555,1.427598655,66.81649745,1.617705962,1.10588266,1,e,f,s
78.6796875,35.80261286,1.339544781,4.643499047,35.42598426,4.442891013,19.22693734,1,e,x,s
19.7890625,31.06385871,5.789227339,35.5201054,66.80839507,1.000054803,0.153420153,1,e,f,y
65.953125,35.63790542,2.635891727,11.14563624,35.10645423,5.208002681,26.93239146,1,e,x,y
7.796875,33.05969019,6.139090075,38.70819796,55.704857,0.68269248,-0.374732984,1,e,x,f
6.265625,31.53531859,6.141778095,39.07830612,55.57571531,0.260256506,-0.917726214,1,e,f,f
32.4765625,41.17606344,3.654787601,13.90269145,66.78183481,1.197499957,0.61762302,1,e,b,y
38.6953125,36.36051228,4.360465712,21.15771157,44.45130354,3.359132223,11.35930965,1,e,f,f
10.015625,30.85601248,6.180543919,39.75576706,74.32885883,0.27344841,-1.063817954,1,e,x,y
61.671875,36.37545304,2.265220701,8.709980861,29.62396029,6.072215931,38.23599074,1,e,b,s
35.859375,30.01346947,5.331252206,34.29799837,84.46670608,0.473213253,-1.090533639,1,e,f,s
19.4921875,32.6716611,5.643641378,33.15621962,57.232719,1.509937251,1.800584867,1,e,x,s
42.8203125,33.40481664,4.417853464,23.83558653,52.00566116,2.566038446,6.1804209,1,e,f,y
63.0859375,39.57607929,2.694842788,9.087356463,52.92638355,2.890254342,7.578930279,1,p,x,y
58.015625,34.10782177,2.355965584,9.184122277,53.90701661,2.518534974,5.524968445,1,e,f,y
46.234375,27.68022884,3.986850736,25.42175255,42.39143921,3.918737221,15.19654897,1,e,x,s
78.6796875,59.98905285,1.390636674,1.054357025,71.53114499,0.6668311,-0.807668128,1,p,x,y
119.671875,39.98966847,0.359964202,0.967106331,15.02961222,8.938616437,104.8855616,1,e,f,f
57.7734375,41.51415701,2.838965075,9.853350469,62.26744522,1.082803734,0.724746575,1,e,x,f
72.65625,34.34781596,2.81900457,11.73185348,33.43391866,5.142988304,27.54852764,1,e,x,y
37.578125,34.13933064,4.383129956,22.73569799,57.28536796,2.07995359,3.765242793,1,e,x,s
50.0859375,40.40343955,3.151907528,10.66543747,46.4274507,3.14661767,9.575655105,1,e,b,s
43.6015625,35.22546572,4.110300953,20.05993849,58.70807058,1.96021624,3.241681938,1,e,x,s
39.1171875,30.50015909,4.010551871,22.3861641,68.8456712,1.027683359,0.245269538,1,e,f,y
13.6015625,31.55757136,5.822564614,35.46144115,64.35960793,0.72525056,-0.05200902,1,e,s,f
21.3828125,45.20459066,3.767349993,14.01025025,61.94282195,0.396818617,-0.438507576,1,e,x,f
63.6171875,37.80503461,2.541497624,9.008706645,54.96080529,2.597359761,6.045306323,1,e,b,s
59.4375,38.90166891,2.506676838,9.072247763,61.68628671,2.06924093,3.363576455,1,e,x,y
97.3125,38.28526765,1.201549111,2.972211693,12.31151455,11.77714906,185.2641987,1,e,x,y
36.46875,39.27287102,3.736450963,14.9146447,75.71649359,0.253562477,-0.936103674,1,e,x,s
108.9765625,51.86573183,0.474522397,0.084257415,40.24307564,3.549170878,11.61125301,1,e,x,s
19.8359375,28.73689303,6.0567723,40.80816128,75.93126905,1.1380628,0.132015156,1,e,f,y
22.1953125,35.54202148,5.18478934,28.51835443,68.76363766,1.106782156,0.294261238,1,e,x,s
36.71875,31.0568877,4.706016931,27.32536362,50.84288903,2.801663986,7.450339955,1,e,b,s
95.3671875,50.26832239,1.110711588,1.167954551,76.99977191,-0.397906063,-0.953013285,1,e,x,y
13.109375,32.64085687,5.767084535,34.25098571,69.40855218,0.98369996,0.041374355,1,e,x,f
43.0,28.46653737,4.154733368,25.62494676,57.61593129,2.477722851,5.393948282,1,e,b,s
66.6875,48.25093101,1.567932843,2.827568398,57.48025842,2.216428138,3.905750406,1,e,f,y
13.28125,27.46103418,6.878449095,51.71908385,66.06109073,1.133358675,0.410064942,1,e,x,y
57.15625,37.19468155,3.016280138,12.41576581,28.87019398,5.413000022,31.27126452,1,e,b,y
76.046875,35.90022183,1.690227856,5.954116332,29.66484975,6.654852618,44.1848469,1,e,x,y
45.390625,37.43707937,3.789654194,17.40835227,62.85762711,1.726342662,2.207774532,1,e,x,y
58.65625,32.25301282,2.497482791,11.99754051,34.65064959,4.912274384,23.84005166,1,e,b,y
13.109375,35.37836432,5.597915884,31.80896164,55.13577534,1.958834549,3.476016531,1,e,b,y
39.1484375,30.32817632,4.004762208,23.3089483,71.31374746,1.780298706,1.807952045,1,e,x,s
111.890625,47.88058622,0.636548449,0.591727999,27.65392164,6.516273421,42.44266539,1,e,x,s
70.2578125,41.91867985,1.75397988,5.286093897,48.79794521,3.429935889,11.15601343,1,e,s,f
60.90625,31.41343201,2.416911299,12.23893195,49.19678537,3.038336624,8.807048962,1,e,x,f
49.3203125,42.95108657,2.889817305,10.13987132,65.16607841,1.57437565,1.396720202,1,e,x,s
86.1015625,46.12056887,1.335441841,2.940783765,32.53460385,5.708073226,32.67639852,1,p,x,y
100.375,41.00342973,1.219326866,3.156956814,38.92933568,5.17225813,25.78415423,1,e,x,y
22.859375,33.00419821,5.198502699,28.10315333,63.18079323,0.997992772,0.525573228,1,e,s,f
31.6015625,29.49823613,5.036449667,30.42817688,62.8684522,2.061246836,3.273828495,1,e,x,y
48.625,30.3327896,3.792205006,20.89345627,44.27628428,3.625515223,12.91094164,1,e,x,s
27.828125,37.69203111,4.713509786,22.82037117,75.8003009,0.796866797,-0.448560872,1,e,s,f
44.6015625,43.87595082,2.966424127,9.248106506,79.46991499,0.907306286,-0.606399475,1,p,x,s
78.0,83.79690851,1.070876299,-0.632872049,77.06197094,-1.227875829,-0.062562216,1,e,x,y
53.5859375,37.68154541,2.988958521,10.74878445,65.39939959,2.042710545,3.116334488,1,p,f,y
35.265625,30.4054591,5.778470134,38.40016863,81.27119963,0.019015878,-1.124362269,1,,,
62.1640625,45.52056152,2.438793131,6.897894438,49.43283417,3.102149052,8.877464039,1,e,x,s
46.640625,45.69579001,2.779794597,8.088926705,41.31733524,3.380418466,11.36648582,1,e,x,s
69.2734375,48.97124712,2.055038029,4.603519771,76.22635342,1.670115316,1.221644103,1,e,b,s
35.640625,30.09794801,4.800069685,28.05925576,53.78264156,2.463464358,5.68723356,1,e,f,f
49.7890625,32.88418416,4.120287528,21.25317784,50.50916733,2.635813519,6.925677637,1,e,x,s
8.1015625,31.35154498,6.091617155,38.48028348,54.66816332,0.968097795,0.696454218,1,e,b,s
16.2734375,45.49995104,3.750763581,13.74960917,50.81271252,-0.861442064,0.490814296,1,e,b,s
49.25,53.79605585,2.081977286,3.98201336,34.42444384,4.893210473,24.45344422,1,e,b,y
45.703125,30.71628217,4.486929377,27.46318845,72.41539612,1.913165862,2.162583529,1,e,f,s
16.5390625,42.74486489,3.968126022,15.39874146,53.13709551,0.871270859,0.488218105,1,e,x,y
108.6328125,51.13353705,0.743156699,0.647275985,82.87536887,0.993160939,-0.536109599,1,e,f,s
115.2421875,52.88471337,0.617194669,-0.473516168,98.52765995,-0.300688184,-1.719093248,1,p,x,y
77.5703125,40.99536628,1.215544207,2.787567721,69.9744327,2.191309815,3.170994826,1,e,f,f
103.859375,35.46427216,1.396708211,4.715823254,51.62967282,3.166081538,9.150102861,1,e,x,y
71.984375,79.08440748,1.086364722,-0.5356664,60.6623401,-1.081765182,0.377426241,1,p,x,s
33.265625,38.0393473,4.194690057,18.18432479,58.24040161,1.776288941,2.566577238,1,e,b,s
61.53125,38.0979284,2.232359057,7.867053086,52.79222285,2.878528088,7.241356084,1,e,x,y
102.46875,35.34714838,1.118794002,3.86018177,73.95063056,1.389508736,0.351528273,1,e,b,y
32.578125,34.9480886,5.099736491,26.96476274,64.6739386,1.050026688,0.620313942,1,e,s,f
27.53125,33.4957874,4.838103704,25.53491373,67.56148506,1.061692631,0.407921551,1,e,f,y
47.7578125,32.27802709,3.746990403,18.27576439,54.05697064,2.30599484,5.082159436,1,e,x,y
46.5703125,38.00199082,3.909548891,16.57935452,66.27613981,1.453978586,1.245745057,1,e,x,f
69.0859375,42.0893817,2.116612134,5.828386489,51.30550625,2.627254734,6.393733854,1,e,f,f
14.8046875,31.17166647,6.710202992,46.55366153,54.36439822,0.745579271,0.951048193,1,e,x,y
30.3984375,29.75849139,4.937010439,30.21465706,61.41136465,2.266474445,4.283722748,1,e,b,s
69.6953125,43.54318234,1.649895381,3.485575966,86.94584005,-0.788771912,-1.042766735,1,e,b,y
10.078125,38.35251975,5.20018925,26.46538334,65.31915379,0.144130842,-1.049979848,1,e,x,y
68.6640625,39.96077713,2.207951355,6.626120947,49.14829067,2.825848881,7.626327356,1,e,x,s
38.9296875,29.9672174,4.107268843,23.64494621,47.43966593,3.747314533,13.42716404,1,e,x,y
112.3046875,45.12526984,1.101891573,2.026089747,76.31848523,1.495602462,0.564702029,1,e,s,f
60.4296875,36.16210974,2.823168017,12.00849659,42.10036288,4.028247971,16.42605776,1,e,x,s
22.96875,28.21013157,6.653031114,47.96902735,82.08952579,-0.205904946,-1.154987786,1,e,x,y
28.96875,43.76016623,3.737042761,13.45893659,72.43618633,0.667913525,-0.520126344,1,e,b,y
10.078125,34.69298591,5.602282044,32.02867078,56.23080282,1.183233851,1.068630918,1,e,x,y
31.0859375,29.67901914,6.651450409,46.86685291,78.08266634,-0.137218605,-0.99087053,1,e,b,y
94.6953125,46.57513396,0.335469844,0.153277345,24.04283165,7.285706194,53.76944224,1,e,b,s
38.984375,32.87238211,4.325521261,22.71500718,47.67966981,2.98125434,8.742633981,1,e,b,s
10.8984375,35.17497331,5.568873897,31.58574796,55.49252834,1.031262778,1.034482733,1,e,b,y
40.3671875,35.58108501,3.839410853,17.94680712,46.31754222,3.179053913,10.18303009,1,e,x,f
37.5625,34.6903152,4.315628088,21.67115274,64.10435767,1.573429201,1.678113162,1,e,f,y
55.5546875,30.88760082,3.386099145,17.27762954,40.83171334,3.613214833,13.44302918,1,e,x,y
61.71875,32.30154251,2.266660549,11.18402964,47.31498689,3.201231706,9.087746535,1,e,f,y
87.3359375,48.06282954,1.122536186,1.427885802,95.03118462,-0.43336351,-1.531109186,1,e,b,s
83.3671875,41.44157617,1.303898142,3.445580775,50.06415591,2.844080254,7.429223204,1,e,b,s
50.375,38.17107871,2.960198409,10.17820522,82.23541097,0.344893652,-1.134392158,1,e,x,y
35.4296875,35.27053559,4.568207023,22.85806571,65.41621847,1.701719885,1.956476136,1,e,b,s
75.6796875,44.5385952,1.663576958,3.656040386,82.02374147,0.94238102,-0.561960661,1,e,x,f
31.5859375,31.90917955,4.246281784,21.9462402,67.30250648,0.939808852,-0.0626975,1,e,b,s
68.171875,39.00923556,1.890852823,5.974870302,32.44494158,5.093572586,27.16879704,1,e,x,f
90.078125,39.19235603,1.369902072,3.981459285,60.57315655,1.635994942,1.609376782,1,e,b,y
119.15625,50.60561936,0.46465455,-0.043930093,52.71949736,2.727909552,6.06360806,1,e,f,y
19.484375,32.4607899,4.686138231,25.3763628,60.99121215,0.747210526,-0.049027511,1,e,b,y
86.921875,41.07303126,1.555088354,4.178343996,33.13763103,5.670572406,32.64354815,1,e,b,y
51.046875,33.52211476,3.755470816,19.54269421,41.44407044,3.56021064,13.0764954,1,e,b,y
39.7421875,31.1303324,4.895431652,29.11248644,52.24283263,2.481615475,5.658729247,1,e,x,y
89.3359375,42.77087892,1.203622763,2.942802735,33.7223601,5.172775286,27.67197695,1,e,b,s
84.515625,38.75725424,1.108953491,3.364441065,48.21089227,2.882236481,7.399262069,1,p,x,y
53.96875,31.9002198,3.149333293,16.01967028,35.95817434,4.424007334,19.86896942,1,e,s,f
68.8984375,35.40057376,2.0868649,8.762020548,19.72056251,9.892058464,103.6705375,1,e,f,f
8.375,33.25187965,6.143548189,38.72489612,66.35820746,0.254297556,-1.026766473,1,e,x,s
80.9609375,35.17332138,2.183944861,8.837161121,41.9203345,3.752025145,13.96083946,1,e,f,y
11.6328125,30.55166503,6.255561501,40.839036,69.24592855,1.000682016,0.007548225,1,p,x,y
6.4140625,30.92014092,6.187429415,40.10131647,61.4164204,0.295248594,-1.027613812,1,e,b,s
23.4765625,28.22619706,6.111068801,41.38180222,62.36272079,1.435898641,1.467188043,1,e,f,f
40.421875,31.7196236,4.504206249,25.1930472,48.16018406,3.021872524,8.989669513,1,e,b,y
15.4609375,29.64659085,6.24443227,41.00497636,70.27851209,1.038219736,0.122544329,1,e,x,y
13.796875,31.31701798,6.099613976,38.47727791,68.01215788,0.721158338,-0.354039516,1,e,x,f
14.4609375,29.38773722,6.296725041,42.02539536,68.2628599,1.042517402,0.23163624,1,e,x,s
70.2890625,68.04469491,1.084958031,-0.126652662,87.86616269,-0.474627352,-1.370035377,1,e,b,s
13.953125,39.75331342,4.502423884,20.0925461,55.87221984,-0.011732849,-0.186721387,1,e,f,s
8.109375,33.7090572,6.172109061,39.09460495,72.14791573,0.204405534,-1.189458162,1,e,x,s
23.8046875,41.6779053,3.9384699,15.42030859,53.15574884,0.759663958,0.346260387,1,e,f,f
60.1484375,49.56342052,2.042535958,4.475835277,36.35170628,5.155641077,26.6515781,1,e,b,s
25.5546875,35.81109478,4.420381987,20.81807034,67.09045101,1.251158087,0.74455171,1,e,x,s
66.0078125,43.05147647,2.182435889,6.24572824,75.94479595,1.352278726,0.433760191,1,e,x,y
69.2734375,31.75706487,2.530868444,11.3877964,68.87492344,1.599715768,1.182493529,1,e,f,s
52.296875,39.5044221,2.605324187,9.256108689,72.78769893,1.601763052,1.091596973,1,e,x,y
64.65625,37.14823295,2.30327916,8.67261914,64.43827409,1.582029261,1.462231647,1,e,b,s
63.5234375,36.95647035,2.60713497,9.659262626,63.37556077,1.428221807,1.258049441,1,e,x,s
12.0234375,39.73986994,5.089784945,24.89940135,74.02270132,-0.432160664,-1.017396537,1,e,x,f
81.0859375,40.14077325,1.175522965,3.424507519,44.34816995,3.93256811,14.60375894,1,e,f,y
69.6640625,36.82481274,2.119994577,8.597450881,48.91450162,2.885591983,7.547988962,1,p,x,s
110.2265625,39.06169296,0.205310999,1.590113963,17.17047093,8.520990655,85.42592747,1,e,b,s
84.53125,43.76873483,1.16265058,2.135450581,38.48344963,3.972712278,15.49732363,1,e,b,s
36.9375,34.82360685,4.057725507,19.20991441,75.35195983,0.699159087,-0.904120787,1,e,b,y
98.828125,44.22847453,1.01242898,1.526599702,51.1758415,3.084054387,8.372713105,1,e,b,y
29.40625,37.29096688,3.5207118,13.48457498,69.81114438,1.072309676,0.105186717,1,e,x,s
77.0078125,47.94047352,1.236140289,1.925759578,55.06049597,2.468206375,4.924128865,1,e,b,s
98.78125,38.664409,0.456107149,1.281347149,19.36025946,8.476797654,81.43262624,1,e,x,f
82.671875,38.31410261,1.479826227,4.046876263,91.35474813,0.217772793,-1.535622078,1,e,x,f
30.1015625,37.99585501,4.505472298,20.78517939,78.74218273,0.894009245,-0.437248907,1,e,f,y
86.0,43.32165307,0.923664996,1.671468215,49.50945015,2.919011219,7.441883916,1,e,b,s
83.1640625,45.66330196,1.448609429,3.001362527,61.10525788,2.35184019,4.160649929,1,e,x,s
114.8515625,44.30347931,0.14242548,0.087649167,22.30752972,7.591025041,59.74558737,1,e,x,y
11.3125,32.89917125,5.965438526,35.9852318,67.35104707,0.021561324,-0.574656351,1,e,x,y
95.390625,57.46088811,0.850746019,-0.112877154,44.43700976,4.134948641,16.12329194,1,e,s,f
47.6640625,25.22005568,4.65537107,34.56319921,59.45657228,2.803674044,6.495920635,1,e,x,s
75.5703125,31.90383098,1.882443041,8.925853354,44.45868355,3.338827957,10.06191759,1,p,x,s
64.453125,46.45290952,2.723048039,7.110333502,64.29911048,1.093908067,-0.047664164,1,e,x,y
21.8515625,32.90328865,5.435666216,31.2568822,79.73912954,0.102797576,-1.108933123,1,e,f,f
116.8359375,48.03331808,0.368218272,-0.021364361,17.27524294,8.667335968,89.7861223,1,e,x,y
34.9609375,36.16312917,4.370479957,21.30250631,63.77693651,0.923271607,-0.375506487,1,e,b,y
8.15625,27.12944592,7.856370386,62.86853087,67.90264793,-0.177334824,-0.673350674,1,e,x,s
43.53125,29.43078148,4.561197349,27.58809027,59.28255704,2.492828032,5.086935866,1,e,x,s
36.125,31.345853,5.211433794,32.98051833,65.1733471,1.864177674,2.585144976,1,p,x,y
98.0,39.81362832,0.446004758,1.242162603,14.85571452,14.21557494,208.6010393,1,e,b,s
112.46875,39.75470442,0.365286563,1.506196542,21.17848552,7.765853469,63.48897487,1,e,x,f
96.5546875,53.00056141,0.809315292,0.539037758,24.36623743,7.722319938,63.4540328,1,p,x,y
65.578125,33.34727532,2.351981687,9.971397801,31.10990258,5.646217665,33.64550365,1,e,x,y
17.7578125,30.80882232,6.086458241,38.24254145,70.89666513,0.327265139,-0.507486595,1,e,f,f
61.5859375,41.06787966,2.18369337,6.679820259,62.80335165,2.378670462,4.365465102,1,e,b,s
107.234375,37.53924704,0.460121636,1.754737076,22.62552491,8.092202918,70.84555141,1,e,x,f
103.390625,42.61807759,0.418338759,0.794263173,26.29253088,5.496571075,31.30574759,1,e,x,y
71.5859375,33.70518491,2.816973782,12.34781475,70.39489282,2.103614391,2.836092635,1,e,b,y
112.5546875,44.37390995,0.451627185,0.267526672,22.33375501,8.825079972,79.83016539,1,e,x,y
84.4453125,33.64841392,2.633667766,12.43219651,35.20039077,5.150902617,27.27294267,1,e,f,y
16.453125,36.8209051,4.907022016,24.51982375,48.85663376,1.767359757,3.527974111,1,e,f,y
49.5078125,32.68887332,4.203809308,21.62398957,75.54210936,1.482984887,0.893826632,1,e,x,s
102.859375,40.06629942,1.252549145,3.01651958,36.65760386,5.072662074,24.99234876,1,e,x,s
77.5078125,38.61104038,1.895567722,6.257880149,48.4371617,2.907536063,8.276427128,1,p,x,s
7.0625,33.6288915,5.835200668,34.93484417,57.00518572,0.813399064,-0.126617647,1,e,f,f
53.4765625,32.2286666,2.903626143,15.15971081,27.30866618,6.964346903,51.55119633,1,e,x,s
52.171875,42.30157898,2.722891102,7.997387909,73.10242261,1.266461628,0.452375328,1,e,x,s
53.6484375,26.42932493,3.804691916,25.79331793,84.41726689,0.47445706,-1.392164883,1,e,x,y
105.640625,45.53496843,0.830424487,1.232635663,48.41507517,3.619330621,11.8583304,1,e,f,y
40.515625,35.08894599,3.431531156,15.51591975,61.19778767,-0.136802247,-0.119417138,1,e,x,s
101.6875,47.07669109,0.407855337,0.632202453,20.76423559,9.971577412,102.1214175,1,e,f,y
107.796875,41.56270853,0.510415259,1.672603023,17.34095012,10.50891351,120.4432366,1,p,x,s
69.796875,39.13525412,1.575813416,4.686156925,28.02717546,6.969244435,50.08877144,1,e,s,f
80.8515625,42.48438865,1.727363029,4.155505222,52.96375201,2.858017126,7.055142648,1,e,b,y
25.8828125,29.54938163,5.85328529,36.84154972,59.25537922,0.766688871,0.503996553,1,e,b,s
64.546875,36.35842822,1.723098235,6.096537099,65.77313791,2.170907045,3.267392909,1,e,b,y
74.6328125,44.24114867,0.996855022,1.839553111,62.66735967,1.903619852,2.378535032,1,e,f,f
95.4140625,50.22924437,0.740939491,0.713137376,59.24229781,2.547417593,5.058853943,1,e,x,s
35.1796875,26.17979708,5.374898,39.85083356,52.62431279,3.477182127,10.83941966,1,e,b,y
21.0234375,29.3058934,6.034954058,39.75209174,58.71450821,1.187591938,0.879634841,1,e,b,y
55.9375,38.13888067,3.485556609,13.36883868,71.27619279,1.152046944,0.291241542,1,e,f,y
127.5703125,38.26994651,0.22612901,1.972821261,66.15966809,1.832828613,1.698899538,1,p,x,y
99.0390625,39.98562287,0.6695787,2.276886361,9.944516862,17.04873084,376.808602,1,e,x,s
60.5625,34.8220364,2.739438534,12.1098447,54.50586019,2.832184644,6.919460893,1,e,x,y
100.0078125,49.86928164,0.60639309,0.322745141,64.02260357,2.346076233,3.93522747,1,e,f,f
52.8125,40.14071927,2.899326439,9.255484143,74.67497011,0.766712013,-0.501878814,1,e,f,f
96.890625,61.79631795,0.975022005,0.178443112,71.67957684,2.01051251,2.512631143,1,e,f,s
56.734375,49.19690736,2.276248056,4.848252368,55.1090443,2.364656521,4.773116366,1,e,x,y
92.46875,37.78949455,0.647792775,2.055608449,11.98340745,15.35544717,256.4241567,1,e,b,s
75.5,47.71562899,1.76685161,3.40732993,42.67672812,3.817963177,14.92776886,1,p,f,y
64.8984375,41.26398245,2.162828337,6.534174214,67.99509103,1.851704182,1.97262495,1,e,x,s
15.9140625,47.3588408,3.613955916,12.49212576,56.9653997,-0.733793058,-0.072134611,1,p,f,s
80.4375,48.13972989,1.606092678,2.362365961,65.51169439,1.854559768,2.127182323,1,e,x,y
24.203125,31.39848707,5.443613711,31.50630065,80.59104019,0.187007891,-1.087562718,1,e,x,y
100.6484375,45.61551097,0.76468005,1.68014046,30.15531322,5.377667442,30.41432407,1,e,f,y
66.078125,52.10395399,2.257081435,4.738070151,107.4318232,0.640118738,-1.550670386,1,e,x,y
