Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,generate column 1,generate column 2,generate column 3,generate column 4,categorical2,categorical3
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,1.33,0.45,-1.14,0.44,e,O
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,-0.5,-0.57,0.65,-0.45,e,B
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,-1.18,-0.11,0.46,-0.64,e,H
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,-0.73,1.5,0.92,-0.28,e,H
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,1.07,0.87,-0.85,0.63,e,W
,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,0.16,1.02,-0.82,0.76,,
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,0.73,-0.87,0.47,1.21,e,W
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,-1.23,-0.72,-2.16,0.14,e,B
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,0.46,-0.47,0.97,0.01,e,W
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,-0.43,-2.02,-1.48,-0.63,e,H
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,0.03,-0.33,-1.06,0.3,e,B
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,-0.27,0.77,0.24,-1.11,e,W
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,0.2,0.51,-0.52,-0.67,e,B
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,-0.89,-0.62,0.49,-1.85,e,W
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,0.17,-0.93,0.91,-0.28,e,B
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,-0.99,-0.77,-2.33,1.55,p,H
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,-0.03,-0.33,1.26,0.58,p,W
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,-0.29,-1.34,-0.35,0.94,e,W
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,1.31,0.96,-0.43,0.09,e,B
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,2.26,0.33,0.32,-0.34,e,W
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,0.96,-0.51,-1.3,1.38,e,H
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,-2.05,0.84,1.26,-0.3,e,
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0.81,0.53,0.23,0.77,e,H
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,-0.54,-0.02,-0.39,1.02,e,W
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,0.1,0.36,0.53,1.63,e,H
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,0.29,-0.17,-1.91,3.38,e,H
,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0.97,-0.3,-0.22,-0.81,,
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,0.84,-0.81,-0.95,-2.01,e,N
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,0.88,-1.21,-0.39,-0.51,e,W
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,0.72,0.48,-0.88,-0.17,e,B
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,-0.22,1.81,-1.8,-0.9,e,W
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,-0.01,0.13,-1.4,-0.21,e,W
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,1.02,-0.09,-1.45,-0.39,e,A
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,0.47,0.15,-0.1,-2.29,e,W
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,-0.85,0.01,0.6,0.7,e,W
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,1.64,-0.03,2.3,0.48,e,W
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,2.3,0.71,0.51,-0.54,e,H
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,-0.88,0.21,0.71,0.44,e,B
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,-2.13,1.17,-0.1,-1.07,e,W
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,-1.07,-1.2,1.05,1.58,e,W
F,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,11,0.22,1.18,-1.03,-0.73,p,W
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,0.07,1.55,0.69,0.11,e,B
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,-1.24,2.93,-0.66,-0.33,e,B
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,0.94,-1.44,0.86,1.05,p,B
F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,0.09,-1.53,0.1,0.63,e,W
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,-2.06,0.98,-0.14,0.54,e,B
M,0.58,0.45,0.14,1.013,0.38,0.21600000000000005,0.36,14,0.75,1.25,0.45,1.18,e,H
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,-0.35,-0.13,-0.76,0.12,e,H
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,1.53,2.03,-0.62,-0.75,e,H
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,-0.02,0.74,-0.09,-0.53,e,B
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,1.4,1.12,0.69,1.06,e,B
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,-0.79,-0.28,-0.96,-0.37,e,W
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,0.26,-0.25,0.7,-0.32,e,B
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,1.03,-0.86,0.02,-2.04,e,W
M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,-0.08,-0.94,-0.7,0.67,e,B
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,-0.57,0.61,0.59,-0.56,e,W
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,-0.53,-0.71,0.13,-2.23,e,W
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,0.62,0.42,-0.62,-0.21,e,W
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,-0.24,-0.71,1.05,-1.16,e,W
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,0.44,-0.52,-0.19,0.06,e,W
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,0.81,0.39,-1.41,-2.15,e,W
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,0.96,-0.16,-1.59,0.03,e,B
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,0.19,1.72,-1.94,-1.18,e,B
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,-0.68,-1.19,-0.36,-0.99,e,W
M,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335,15,-1.3,-0.81,-0.09,0.15,e,H
M,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,10,0.76,-0.95,-0.63,0.35,e,B
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,0.72,-1.03,0.71,-0.99,e,W
F,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12,-0.32,-0.69,0.56,0.24,e,W
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,-1.11,0.62,0.33,0.72,e,H
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,-0.2,-0.07,-1.97,2.24,e,H
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,0.82,-1.51,-0.39,-1.14,e,W
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,-0.14,0.74,-1.27,0.07,e,H
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,0.02,0.87,-0.65,-1.31,e,W
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,0.5,-0.67,1.28,0.19,e,W
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,1.02,0.31,-1.25,-0.44,e,W
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,-0.52,-1.84,0.05,0.24,e,W
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,-1.45,1.34,0.54,1.05,p,B
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,-0.56,0.85,2.57,2.14,e,W
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,1.43,-1.3,-0.31,-1.08,e,W
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,-1.63,0.03,0.26,1.52,e,W
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,-2.18,-1.52,0.15,0.34,e,W
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,0.6,0.37,-0.1,0.92,e,W
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,0.47,0.08,-0.53,0.53,p,W
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,-1.31,1.35,3.84,0.96,e,W
F,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,14,-0.97,-0.17,-0.84,-0.26,p,H
,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,-1.67,-0.4,0.65,0.36,,
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,0.76,2.02,-0.91,0.63,e,H
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,-0.52,0.21,-0.74,1.25,e,B
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,-0.48,1.25,0.1,-1.25,e,B
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,2.5,0.25,-0.57,3.1,e,H
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,1.51,1.71,-0.13,0.55,e,W
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,0.79,-1.17,0.37,-1.71,e,W
M,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,17,-2.15,0.36,1.49,-0.38,e,W
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,-0.73,0.63,1.02,1.16,e,W
F,0.325,0.26,0.09,0.1915,0.085,0.036000000000000004,0.062,7,-1.04,-0.52,-0.29,-1.91,e,W
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,-0.2,-0.12,0.2,-0.68,e,W
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,-0.71,-0.87,0.3,0.31,e,B
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,0.76,1.91,-0.27,0.89,p,W
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,0.38,1.2,-0.36,-0.39,e,W
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,1.22,0.31,1.16,0.27,e,W
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,-0.99,1.32,0.78,0.65,p,B
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,-1.41,0.89,-0.28,0.04,e,W
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,0.13,-0.72,0.83,-2.25,e,H
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,1.97,0.74,0.12,-0.67,e,H
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,0.1,0.81,1.13,-2.61,e,W
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,-0.84,-0.47,0.28,-0.36,e,W
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,-0.04,0.32,1.0,1.26,e,W
F,0.49,0.38,0.125,0.5489999999999999,0.245,0.1075,0.174,10,-0.6,-0.4,-1.9,-0.65,e,H
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,-1.55,0.71,0.31,0.02,e,W
I,0.28,0.205,0.08,0.127,0.052000000000000005,0.039,0.042,9,0.38,-0.69,-1.47,-1.43,e,B
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,1.84,1.93,0.52,-0.44,e,H
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,1.43,1.02,-1.84,-1.15,e,B
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,-0.68,2.57,0.24,-0.35,e,B
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,-0.8,1.11,1.39,0.89,e,W
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,0.01,0.25,-0.19,0.8,e,W
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,-1.34,1.15,-0.24,-0.95,e,A
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,1.83,0.49,1.02,-0.98,e,W
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,0.64,1.38,-1.38,0.3,e,B
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,-0.34,-0.75,0.76,-0.68,e,B
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,-1.2,0.15,-0.05,-0.47,e,B
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,-0.95,1.69,-0.56,-2.5,e,W
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,-1.37,0.3,-0.72,-0.1,e,W
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,-0.46,-0.5,-0.18,0.19,e,A
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,-0.25,-0.22,-0.15,2.04,e,B
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,0.01,-0.04,-1.07,-0.08,e,H
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,-0.35,-0.12,-1.37,2.47,e,W
F,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16,0.45,-0.38,-0.86,0.33,e,B
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,0.25,0.84,-0.29,-0.58,e,B
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,-0.58,-0.47,0.12,-0.06,e,B
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,0.56,-1.32,0.13,-1.5,e,W
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,-0.46,-1.17,-1.98,1.5,e,B
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,0.13,-0.28,-0.92,-0.42,e,H
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,-0.43,-1.73,-1.2,-0.09,e,W
F,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,7,0.35,0.08,-0.35,-1.18,e,B
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,0.33,0.15,-0.33,1.33,e,W
F,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22,8,-0.35,-0.7,0.22,-1.2,e,W
I,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,5,1.17,1.01,-1.38,0.66,e,B
I,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7,-0.72,0.59,-0.94,-0.74,e,B
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,1.15,-0.5,-0.01,0.57,e,B
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,0.16,-0.6,-0.48,-0.62,e,W
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,-1.25,-0.27,-0.24,-0.17,e,H
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,1.55,-1.34,0.94,-1.17,e,B
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,-0.89,-0.24,0.03,-0.22,p,W
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,-0.49,0.13,0.46,0.14,e,H
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,0.5,-2.26,0.53,0.47,e,W
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,-2.4,-0.94,1.55,-0.47,e,W
F,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46,12,-0.56,1.71,-0.84,-0.55,e,W
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,-0.96,-0.7,0.52,1.38,p,H
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,0.14,1.03,-1.26,0.03,e,B
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,0.53,-1.32,0.36,-1.29,e,H
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,1.39,-0.42,-2.06,0.41,e,W
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,1.13,-0.71,-1.59,-0.99,e,W
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,1.04,0.07,-1.23,-0.79,e,H
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,-1.19,-0.43,1.09,0.22,e,W
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,0.13,0.37,-0.81,0.23,e,W
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,0.32,0.25,-2.3,-0.78,e,H
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,-0.01,-1.05,0.34,-0.16,e,W
M,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12,0.19,-0.47,-2.78,-1.73,e,W
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,0.72,-0.39,0.53,0.42,e,W
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,2.52,-1.02,-0.37,-0.8,e,W
M,0.56,0.45,0.16,0.922,0.4320000000000001,0.17800000000000002,0.26,15,1.14,1.09,-0.48,-0.61,e,W
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,-1.22,0.78,-0.5,-0.32,e,W
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,0.9,0.49,0.78,0.61,e,W
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,0.3,2.8,0.76,0.7,e,H
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,-0.37,1.21,0.57,-0.23,e,W
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,0.18,-0.86,0.14,0.16,e,W
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,-2.18,-0.15,0.24,0.63,e,W
F,0.44,0.34,0.14,0.482,0.18600000000000005,0.1085,0.16,9,0.48,0.86,0.97,0.44,p,W
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,1.03,-0.18,-0.25,0.72,e,B
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,0.61,1.03,0.04,-0.59,e,W
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,0.93,0.19,0.77,-0.52,e,B
I,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7,0.67,1.13,-0.71,1.49,e,W
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,-0.47,1.15,0.33,0.28,e,W
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,0.35,-0.18,0.85,2.34,e,B
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,0.32,0.75,0.91,1.45,e,W
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,-0.49,0.11,2.2,0.19,e,N
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,0.94,-0.41,-1.09,0.96,e,W
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,1.06,0.56,-0.28,0.98,e,W
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,-0.43,1.47,-0.71,1.62,e,W
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,-0.28,-0.2,-0.58,0.73,e,W
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,-0.96,-0.03,-0.12,1.07,e,W
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,-0.24,0.21,0.81,-0.68,e,W
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,0.73,0.09,-1.08,1.22,e,B
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,1.09,0.58,0.02,0.88,p,B
F,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19,9,0.8,0.47,0.28,-0.32,e,B
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,-0.6,-0.79,0.13,0.78,e,W
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,-0.15,0.65,-0.4,0.58,e,W
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,0.92,-0.1,0.6,-0.86,e,B
F,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,7,-1.64,-0.62,-0.06,-0.06,e,B
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,0.92,0.21,-1.68,0.66,e,H
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,0.33,0.01,0.56,0.37,p,W
F,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15,1.25,-0.39,-0.47,0.88,e,W
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,0.01,0.4,0.53,-0.76,e,H
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,0.46,-1.28,-0.25,0.21,p,B
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,0.93,1.46,-0.5,0.25,e,W
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,0.58,0.05,0.55,0.16,e,B
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,-1.46,1.96,1.39,-0.41,e,W
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,-0.52,-0.96,0.25,0.17,e,B
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,-0.7,-0.2,-0.68,-0.43,e,H
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,0.66,1.0,-0.34,0.95,e,W
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,-0.52,0.05,0.24,-0.29,e,B
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,-0.03,0.49,1.11,0.36,e,W
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,0.72,-0.04,-0.07,0.46,e,
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,-1.12,-0.1,-0.86,-1.5,e,W
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5,2.44,-0.86,0.33,0.05,e,W
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,-0.31,0.65,-0.24,0.49,p,H
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,0.42,1.59,1.35,-2.75,e,B
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,0.33,2.1,0.72,0.56,e,B
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,-0.41,-0.57,0.52,0.58,e,W
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,0.9,-0.86,-0.33,-2.91,e,B
